country	year	percent
MON	2011	0.7383
MON	2012	0.6999
MON	2013	0.6794
MON	2014	0.7029
MON	2015	0.6633
MON	2016	0.6589
MON	2017	0.6328
MON	2018	0.6512
MON	2019	0.6990
MON	Total	0.6788
TUE	2011	0.7221
TUE	2012	0.6803
TUE	2013	0.6892
TUE	2014	0.7045
TUE	2015	0.6872
TUE	2016	0.6896
TUE	2017	0.6511
TUE	2018	0.6761
TUE	2019	0.6757
TUE	Total	0.6859
WED	2011	0.7540
WED	2012	0.7260
WED	2013	0.6964
WED	2014	0.7234
WED	2015	0.6832
WED	2016	0.6962
WED	2017	0.6682
WED	2018	0.6785
WED	2019	0.6594
WED	Total	0.7012
THU	2011	0.7377
THU	2012	0.7060
THU	2013	0.6780
THU	2014	0.7358
THU	2015	0.6933
THU	2016	0.6877
THU	2017	0.6705
THU	2018	0.6794
THU	2019	0.6598
THU	Total	0.6950
FRI	2011	0.7591
FRI	2012	0.7148
FRI	2013	0.6904
FRI	2014	0.7283
FRI	2015	0.7024
FRI	2016	0.6956
FRI	2017	0.6952
FRI	2018	0.6910
FRI	2019	0.7023
FRI	Total	0.7076
Total	2011	0.7416
Total	2012	0.7042
Total	2013	0.6862
Total	2014	0.7199
Total	2015	0.6871
Total	2016	0.6868
Total	2017	0.6657
Total	2018	0.6772
Total	2019	0.6776
Total	Total	0.6939