country	year	percent
2011	MON	0.74
2011	TUE	0.72
2011	WED	0.75
2011	THU	0.74
2011	FRI	0.76
2011	Total	0.74
2012	SUN	1
2012	MON	0.7
2012	TUE	0.68
2012	WED	0.73
2012	THU	0.71
2012	FRI	0.71
2012	SAT	0.75
2012	Total	0.7
2013	MON	0.68
2013	TUE	0.69
2013	WED	0.7
2013	THU	0.68
2013	FRI	0.69
2013	SAT	1
2013	Total	0.69
2014	SUN	0
2014	MON	0.7
2014	TUE	0.7
2014	WED	0.72
2014	THU	0.74
2014	FRI	0.73
2014	SAT	0.5
2014	Total	0.72
2015	MON	0.66
2015	TUE	0.69
2015	WED	0.68
2015	THU	0.69
2015	FRI	0.7
2015	SAT	1
2015	Total	0.69
2016	MON	0.66
2016	TUE	0.69
2016	WED	0.7
2016	THU	0.69
2016	FRI	0.7
2016	Total	0.69
2017	MON	0.63
2017	TUE	0.65
2017	WED	0.67
2017	THU	0.67
2017	FRI	0.7
2017	SAT	0
2017	Total	0.67
2018	MON	0.65
2018	TUE	0.68
2018	WED	0.68
2018	THU	0.68
2018	FRI	0.69
2018	SAT	1
2018	Total	0.68
2019	MON	0.7
2019	TUE	0.68
2019	WED	0.66
2019	THU	0.66
2019	FRI	0.7
2019	Total	0.68
Total	SUN	0.67
Total	MON	0.68
Total	TUE	0.69
Total	WED	0.7
Total	THU	0.7
Total	FRI	0.71
Total	SAT	0.63
Total	Total	0.69